legacy_plan_id,cohort,stage,task,activity,execution_mode,owner,duration_days,start_date_raw,start_date_iso,end_date_raw,end_date_iso,execution_status,completion_ratio,cohort_source_value,duration_formula,completion_formula,source_file,source_sheet,source_row
LEG-PLAN-0001,2,مرحلة الإعداد والتحضير,إعداد خطة مسرعة إدامة,تحديد الجدول الزمني لمهام ومتطلبات برنامج المسرعة,خطة تنفيذية,الفريق الاستشاري,1,45777,2025-04-30,45777,2025-04-30,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,2
LEG-PLAN-0002,2,مرحلة الإعداد والتحضير,اعتماد خطة مسرعة إدامة,مناقشة الخطة الزمنية للدفعة واعتمادها للإطلاق,أون لاين,الأكاديمية + المركز الوطني,1,45771,2025-04-24,45778,2025-05-01,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,3
LEG-PLAN-0003,2,مرحلة الإعداد والتحضير,بناء وتنفيذ الخطة الترويجية,تحديد الأنشطة التسويقية والإعلامية,حملة إعلانية + تسجيل,الفريق الاستشاري,1,45779,2025-05-02,45779,2025-05-02,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,4
LEG-PLAN-0004,2,مرحلة الإعداد والتحضير,بناء وتنفيذ الخطة الترويجية,تصميم المحتوى التسويقي والإعلامي,حملة إعلانية + تسجيل,الفريق الاستشاري,1,45781,2025-05-04,45781,2025-05-04,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,5
LEG-PLAN-0005,2,مرحلة الإعداد والتحضير,بناء وتنفيذ الخطة الترويجية,إطلاق الحملة الترويجية لمسرعة إدامة + إطلاق رابط التسجيل في البرنامج يتضمن (تقرير التقييم الذاتي - مستندات الانضباط والتعهد باستكمال برنامج المسرعة),حملة إعلانية + تسجيل,الفريق الاستشاري + الأكاديمية,5,45783,2025-05-06,45787,2025-05-10,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,6
LEG-PLAN-0006,2,مرحلة الإعداد والتحضير,بناء وتنفيذ الخطة الترويجية,إرسال دعوة التسجيل في مسرعة إدامة للجهات الإشرافية,بريد رسمي,المركز الوطني,3,45784,2025-05-07,45786,2025-05-09,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,7
LEG-PLAN-0007,2,مرحلة الإعداد والتحضير,استقطاب مستشاري التطوع,تصميم وإطلاق إعلان الاستقطاب,حملة إعلانية,الفريق الاستشاري,1,45787,2025-05-10,45787,2025-05-10,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,8
LEG-PLAN-0008,2,مرحلة الإعداد والتحضير,استقطاب مستشاري التطوع,استقبال الطلبات واختيار المستشارين,فرز وترشيح,الفريق الاستشاري,1,45788,2025-05-11,45788,2025-05-11,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,9
LEG-PLAN-0009,2,مرحلة الإعداد والتحضير,استقطاب مستشاري التطوع,إبرام التعاقد مع المستشارين المرشحين,توقيع عقود,الفريق الاستشاري,1,45801,2025-05-24,45801,2025-05-24,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,10
LEG-PLAN-0010,2,مرحلة الإعداد والتحضير,تقييم واختيار الجهات المشاركة,التحقق من استكمال المتطلبات وفرز الجهات الجاهزة للمشاركة,فرز وتقييم,الفريق الاستشاري,2,45801,2025-05-24,45802,2025-05-25,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,11
LEG-PLAN-0011,2,مرحلة الإعداد والتحضير,تقييم واختيار الجهات المشاركة,اختيار الجهات المرشحة للمشاركة وإرسال خطابات القبول,بريد رسمي,الفريق الاستشاري + الأكاديمية,2,45802,2025-05-25,45803,2025-05-26,تم الانجاز,1,2,,,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,خطة الدفعة,12
