legacy_duplicate_group_id,use_count,cohorts,organizations_count,organizations,models_count,models,canonical_url,resource_id,decision
LEG-DUP-0001,2,2,2,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات | جمعية مكافحة السمنة بمنطقة حائل,1,نموذج تقييم أداء المتطوع,https://docs.google.com/document/d/14DZLhhczQb1E1p_KvQfVuxpjaECZwuSQ,14DZLhhczQb1E1p_KvQfVuxpjaECZwuSQ,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0002,2,2,2,جمعية الزاد | جمعية رؤية التنموية الاهلية النسائية,2,نموذج الشكوى والتظلم | نموذج تقييم أداء المتطوع,https://docs.google.com/document/d/15L7Nk0h0vAJQfiOTdng2HGfsBVeS2w-d,15L7Nk0h0vAJQfiOTdng2HGfsBVeS2w-d,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0003,2,2,1,جمعية عروى الخيرية,2,المعيار الوظيفي لمدراء التطوع | الميثاق الأخلاقي للمنظمة ولمدير التطوع,https://docs.google.com/document/d/17Z_UIroO2IyowA1PGbBiJECXEWHLEOSI,17Z_UIroO2IyowA1PGbBiJECXEWHLEOSI,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0004,2,2,1,جمعية صناعة القدرات الشبابية,2,تقرير لقاء التعارف | تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,https://docs.google.com/document/d/18iXaqPj3-FDIBLFnA4BhFI_vyLrH9IHu,18iXaqPj3-FDIBLFnA4BhFI_vyLrH9IHu,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0005,2,2,1,جمعية التنمية الأهلية بحرمة,2,دليل السياسات والإجراءات | نموذج صياغة السياسة العامة للتطوع في الجهة,https://docs.google.com/document/d/1BC7agPa6SPVGq8kme8-2Na7s9uERQLrU,1BC7agPa6SPVGq8kme8-2Na7s9uERQLrU,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0006,2,2,1,جمعية التمور للخدمات الإنسانية,2,نموذج تقييم أداء المتطوع | نموذج تقييم المتطوع لتجربته التطوعية,https://docs.google.com/document/d/1FAU4OwdfRp10rXoY58kvZlJUrimRpUAN,1FAU4OwdfRp10rXoY58kvZlJUrimRpUAN,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0007,5,2,2,جمعية الزاد | جمعية رؤية التنموية الاهلية النسائية,4,الملف التعريفي | الميثاق الأخلاقي للمنظمة ولمدير التطوع | دليل المتطوع | نموذج صياغة منطلقات ورؤية المنظمة للتطوع,https://docs.google.com/document/d/1Ftnjwz6BPL3j1YDMgS6I3J7NuHST9LSr,1Ftnjwz6BPL3j1YDMgS6I3J7NuHST9LSr,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0008,2,2,1,تراحم الرياض,2,دليل السياسات والإجراءات | نموذج صياغة السياسة العامة للتطوع في الجهة,https://docs.google.com/document/d/1IOIDa6aRlyUpdS1JNRiFVRtn9dK-ISJ1,1IOIDa6aRlyUpdS1JNRiFVRtn9dK-ISJ1,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0009,2,2,1,جمعية عروى الخيرية,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://docs.google.com/document/d/1JNlMack68T5-EYg2tcc1JKjHOf6YylpR,1JNlMack68T5-EYg2tcc1JKjHOf6YylpR,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0010,2,2,1,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات,2,نموذج تقييم المتطوع لتجربته التطوعية | نموذج طلب تعويض عن مصروفات,https://docs.google.com/document/d/1KkOF5IXlwkdx2PrtM1c_qvMlkUowpKrT,1KkOF5IXlwkdx2PrtM1c_qvMlkUowpKrT,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0011,2,2,1,تراحم الرياض,2,تقرير لقاء التعارف | تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,https://docs.google.com/document/d/1M6UqqJmdeAQ93VDCHyJWO2uHyadggmfT,1M6UqqJmdeAQ93VDCHyJWO2uHyadggmfT,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0012,3,2,1,جمعية رؤية التنموية الاهلية النسائية,3,المعيار الوظيفي لمدراء التطوع | دليل السياسات والإجراءات | نموذج الهيكل الإداري والوصف الوظيفي,https://docs.google.com/document/d/1Mtg5b5Td8wK7pMvmUkdtGUfVn8G6UZ4o,1Mtg5b5Td8wK7pMvmUkdtGUfVn8G6UZ4o,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0013,2,2,1,جمعية رؤية التنموية الاهلية النسائية,2,نموذج تحديد الاحتياج التدريبي للمتطوعين | نموذج تقييم أداء المتطوع,https://docs.google.com/document/d/1P1Cr9xgDftyDiphj1LOf6n7KmzSGgg7i,1P1Cr9xgDftyDiphj1LOf6n7KmzSGgg7i,PRESERVE_AND_FLAG_NO_MERGE
