legacy_org_id,cohort,organization_name,normalized_name,aliases,roster_status,consultants,evaluators,sector,region,target_group,supervisor,start_date_raw,start_date_iso,graduation_date_raw,graduation_date_iso,source_files,source_rows,record_hash_sha256
LEG-ORG-B1-001,1,جمعية بنيان للخدمات الاجتماعية,جمعيهبنيانللخدماتالاجتماعيه,,PRIMARY_ROSTER,خالد الصفحي,د . حسن أبو كافته,,,,,45610,2024-11-14,45803,2025-05-26,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!2 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!25,2e23159823ae41ccad1ef84fdd40f3b5f50a282bab81714b8e0d3d08495d8670
LEG-ORG-B1-002,1,جمعية البرهان لخدمة السنة والقرآن,جمعيهالبرهانلخدمهالسنهوالقران,,PRIMARY_ROSTER,خالد الصفحي,د . حسن أبو كافته,,,,,45610,2024-11-14,45803,2025-05-26,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!3 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!24,b77e2c80b3f6a9bbca447d05380ececb269168e1c73ef33f1502eb922a5e1e8f
LEG-ORG-B1-003,1,جمعية الصم وضعاف السمع وذويهم,جمعيهالصموضعافالسمعوذويهم,,PRIMARY_ROSTER,هنادي شعيب,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45782,2025-05-05,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!4 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!9,b4ba5ab0d658c0e3a7b66a7fb7dbc48c3b282fae87c46a43341c07d61a5aa073
LEG-ORG-B1-004,1,جمعية أفق للاسكان التنموي,جمعيهافقللاسكانالتنموي,جمعية افق,PRIMARY_ROSTER,إسراء باقيس,د . حسن أبو كافته,,,,,45610,2024-11-14,45773,2025-04-26,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!5 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!11,038e6eb409744e62397a8835317cf9105f74758f4d5cb61aa79f1eb5d846de99
LEG-ORG-B1-005,1,الجمعية الخيرية لتيسير الزواج ورعاية الأسرة,الجمعيهالخيريهلتيسيرالزواجورعايهالاسره,,PRIMARY_ROSTER,إسراء باقيس,د . حسن أبو كافته,,,,,45610,2024-11-14,45773,2025-04-26,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!6 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!13,42178b9ee85ba1994f28ac19ee820e30ced064f7102d6863abaac83f19e4eb47
LEG-ORG-B1-006,1,جمعية التنمية الأهلية بالحزام الذهبي,جمعيهالتنميهالاهليهبالحزامالذهبي,,PRIMARY_ROSTER,إسراء باقيس,د . حسن أبو كافته,,,,,45610,2024-11-14,45773,2025-04-26,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!7 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!15,39b0a0d0cdf932bab4a0b8e2d116b40f96972dff67ce14e9d02b7d3224bc7af3
LEG-ORG-B1-007,1,جمعية الجبيل الأهلية,جمعيهالجبيلالاهليه,,PRIMARY_ROSTER,إسراء باقيس,د . حسن أبو كافته,,,,,45610,2024-11-14,45773,2025-04-26,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!8 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!14,42f0e2f4a073d188c6113b899cef5a74d14c0afbc70c3a9e1c42f4f349613357
LEG-ORG-B1-008,1,جمعية تواصل للتنمية الأهلية بأحياء الجامعيين والنزهة وهجر والفردوس,جمعيهتواصلللتنميهالاهليهباحياءالجامعيينوالنزههوهجروالفردوس,,PRIMARY_ROSTER,إسراء باقيس,د . حسن أبو كافته,,,,,45610,2024-11-14,45773,2025-04-26,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!9 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!16,30f4b558c682bd8b3a1c4ddeb29ec47795837a1815e3f6fe7dfe0a64310dda45
LEG-ORG-B1-009,1,جمعية المعمار,جمعيهالمعمار,جمعية معمار للاسكان التنموي,PRIMARY_ROSTER,إسراء باقيس,د . حسن أبو كافته,,,,,45610,2024-11-14,45773,2025-04-26,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!10 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!12,2e77435cf415f4d3a4dcb1e1685bfe16e5ffaf56b8a777e2b04dd860e47600ae
LEG-ORG-B1-010,1,الجمعية التكاملية لذوي الإعاقة,الجمعيهالتكامليهلذويالاعاقه,الجمعية التكاملية لذوي الاعاقة,PRIMARY_ROSTER,هنادي شعيب,د . حسن أبو كافته,,,,,45610,2024-11-14,45782,2025-05-05,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!11 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!8,2cd1bcb7b0e660afc75c19c0c208c6299c49c09d99a58c238940ef455a096cce
LEG-ORG-B1-011,1,الجمعية السعودية لاضطراب فرط الحركة (إشراق ),الجمعيهالسعوديهلاضطرابفرطالحركهاشراق,الجمعية السعودية لاضطراب فرط الحركة وتشتت الانتباه ( إشراق ),PRIMARY_ROSTER,خالد الصفحي,د . حسن أبو كافته,,,,,45610,2024-11-14,45754,2025-04-07,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!12 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!27,922ba80dba533c7493370dcd96328480c7afb81ad8efadb1a858ca0447dc2c9b
LEG-ORG-B1-012,1,جمعية دار السلام لإكرام الموتى,جمعيهدارالسلاملاكرامالموتي,,PRIMARY_ROSTER,هشام الغامدي,د . حسن أبو كافته,,,,,45610,2024-11-14,45874,2025-08-05,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!13 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!17,ef940adbfc3af0e4c4df9d3bb320a8a74ec6a1b862662ecd81e7baf47dea77f9
LEG-ORG-B1-013,1,المؤسسة الخيرية لرعاية الأيتام - إخاء,الموسسهالخيريهلرعايهالايتاماخاء,المؤسسة الخيرية لرعاية الايتام - إخاء,PRIMARY_ROSTER,هنادي شعيب,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45782,2025-05-05,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!14 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!10,2a18941a0a136a68f020f4ff36546efcf610af915dce55ac99b4ac2cb2a469c5
LEG-ORG-B1-014,1,جمعية المحترفون للبحث والإنقاذ,جمعيهالمحترفونللبحثوالانقاذ,,PRIMARY_ROSTER,هنادي شعيب,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45782,2025-05-05,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!15 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!5,8ef68556597a6a36288abcb2e13bc2a4c8d0c1ec567852c976a2a556f8e6f68b
LEG-ORG-B1-015,1,جمعية مكث النسائية للريادة الشبابية,جمعيهمكثالنساييهللريادهالشبابيه,جمعية مُكث النسائية للريادة الشبابية,PRIMARY_ROSTER,هنادي شعيب,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45782,2025-05-05,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!16 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!7,cdc43e6ce32fa3dbc1f71bbccd3b1fabdd35b273ce2bb3bcfb99a6f2e7734c36
LEG-ORG-B1-016,1,جمعية وفاء للخدمات القانونية للمرأة,جمعيهوفاءللخدماتالقانونيهللمراه,جميعة وفاء للخدمات القانونية للمرأة,PRIMARY_ROSTER,هنادي شعيب,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45782,2025-05-05,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!17 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!6,39df80ffdb4d47cbcc58b4d7f94ab94388bfa028a9b34bb83ab8a58dfc48b4a9
LEG-ORG-B1-017,1,مؤسسة عبدالمنعم الراشد الإنسانية,موسسهعبدالمنعمالراشدالانسانيه,,PRIMARY_ROSTER,هشام الغامدي,أ . محمد العبدالجبار,,,,,45610,2024-11-14,27,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!18 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!22,9f177d85aeb17a584d09c0760f218db99ba566d1809a14667d3d3313ad483591
LEG-ORG-B1-018,1,جمعية واعد الشبابية,جمعيهواعدالشبابيه,,PRIMARY_ROSTER,هشام الغامدي,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45865,2025-07-27,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!19 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!18,b8e5f49b8a80e83ce45f98ea49f8c0facf78a7281588571f5d7b5fa25670733f
LEG-ORG-B1-019,1,جمعية التنمية الأهلية بالصالحية,جمعيهالتنميهالاهليهبالصالحيه,جمعية التنمية الأهلية بأحياء الصالحية وتوابعها,PRIMARY_ROSTER,خالد الصفحي,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45858,2025-07-20,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!20 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!23,8d5446c0840c70ace1c984785bf4619c019604ab09a2daeea695921cefe7d0e7
LEG-ORG-B1-020,1,جمعية العناية بشؤون الموتى إحسان,جمعيهالعنايهبشوونالموتياحسان,,PRIMARY_ROSTER,خالد الصفحي,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45858,2025-07-20,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!21 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!28,42c2f9b4161dddf855ffe4eab56e3fbce75bba3c3336e79b91d5b78d6e5c11ab
LEG-ORG-B1-021,1,جمعية التنمية الأهلية بالملاحة,جمعيهالتنميهالاهليهبالملاحه,جمعيه التنميه الاهليه بالملاحه,PRIMARY_ROSTER,هشام الغامدي,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45865,2025-07-27,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!22 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!21,3619e15aba8372f99732277f3f658dece0d1ccb1ca00a1f8c2c516872b94f31b
LEG-ORG-B1-022,1,جمعية سند للمسؤولية الاجتماعية بالأحساء,جمعيهسندللمسووليهالاجتماعيهبالاحساء,,PRIMARY_ROSTER,هشام الغامدي,أ . محمد العبدالجبار,,,,,45610,2024-11-14,45865,2025-07-27,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!23 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!20,028df213873d68fbdf1e99139f1793729fa866125bf146d34ecc3b93acca5f8a
LEG-ORG-B1-023,1,جمعية العمل التطوعي,جمعيهالعملالتطوعي,,SUPPLEMENTAL_ROSTER,,,,,,,,,,,dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!19,b9374f8aa27a33d793aee07331fb7acaf395a5a510585097c955fa9750fb98e5
LEG-ORG-B1-024,1,بيت الثقافة بالدمام (مشروع هيئة المكتبات),بيتالثقافهبالدماممشروعهييهالمكتبات,,SUPPLEMENTAL_ROSTER,,,,,,,,,,,dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!26,d11fbe2026ed3a11c6f712a419246dbf766ab4afaf776c3bc75a5187e8351040
LEG-ORG-B2-001,2,جمعية عروى الخيرية,جمعيهعرويالخيريه,,PRIMARY_ROSTER,عزيز التوخي,معلوي ال ناصر,خدمة مجتمعية,عروى,,وزارة الموارد البشرية والتنمية الاجتماعية,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!2 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية عروى الخيرية!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية عروى الخيرية!2,7a124dd060befe891ecd2b1ba465ab8592d8a0d2df4bdb07a77a42b4b59306fd
LEG-ORG-B2-002,2,جمعية مكافحة السمنة بمنطقة حائل,جمعيهمكافحهالسمنهبمنطقهحايل,جمعية مكافحة السمنة,PRIMARY_ROSTER,عزيز التوخي,معلوي ال ناصر,الصحة,حائل,الكبار,وزارة الصحة,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!3 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية مكافحة السمنة!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية مكافحة السمنة بمنطقة حائل!2,021002b8d9ad10c75b4184687387b863e3df59d4e8f746da43a9792d72bb43df
LEG-ORG-B2-003,2,جمعية ابوة لرعاية الايتام بعنيزة,جمعيهابوهلرعايهالايتامبعنيزه,جمعية ابوة لرعاية الايتام,PRIMARY_ROSTER,عزيز التوخي,معلوي ال ناصر,ارشاد وتوجيه,عنيزة,,وزارة الموارد البشرية والتنمية الاجتماعية,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!4 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية ابوة لرعاية الايتام!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية ابوة لرعاية الايتام!2,55c1c77fabd457ec6a109ae19334ea5f7d58ff9f0c44e24268bae419342376d9
LEG-ORG-B2-004,2,جمعية حوائج لحفظ النعمة,جمعيهحوايجلحفظالنعمه,,PRIMARY_ROSTER,عزيز التوخي,معلوي ال ناصر,,الرياض,,وزارة البلديات والاسكان,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!5 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية حوائج لحفظ النعمة!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية حوائج لحفظ النعمة!2,3b2c869a13d11ac06cdd36c14468a67d4f524ea61ba7fa63eef5b5b7540f96fe
LEG-ORG-B2-005,2,جمعية طب القدم والكاحل,جمعيهطبالقدموالكاحل,,PRIMARY_ROSTER,عزيز التوخي,معلوي ال ناصر,الصحة,الرياض,,الجهة الاشرافية بوزارة الصحة,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!6 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية طب القدم والكاحل!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية طب القدم والكاحل!2,ee5ea3efe67d36e530244925691ee8ebf0d1b7e488c56d905a97e439c93d1901
LEG-ORG-B2-006,2,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات,جمعيهالبيضاءلدعوهوالارشادوتوعيهالجاليات,جمعية البيضاء,PRIMARY_ROSTER,عزيز التوخي,معلوي ال ناصر,,الرياض,,وزارة الشؤون الإسلامية والدعوة والإرشاد,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!7 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية البيضاء!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية البيضاء!2,2e7cffa9e49fe60ed77fa5d9c853b8feac272fdf5a923e908651456437a72a8d
LEG-ORG-B2-007,2,جمعية الزاد,جمعيهالزاد,,PRIMARY_ROSTER,عزيز التوخي,معلوي ال ناصر,,بريدة,,المركز الوطني لتنمية القطاع غير الربحي,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!8 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية الزاد!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية الزاد!2,011a2e2a60b763b7490ee3a07bf0442526dd26c4c287e396ede4ff1be47ad644
LEG-ORG-B2-008,2,جمعية رؤية التنموية الاهلية النسائية,جمعيهرويهالتنمويهالاهليهالنساييه,جمعية رؤية التنموية | جمعية رؤية التنموية الاهلية,PRIMARY_ROSTER,عزيز التوخي,معلوي ال ناصر,,البكيرية,,وزارة الموارد البشرية و التنمية الاجتماعية,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!9 || dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx | جمعية رؤية التنموية!2 || dashboard_bundle_1/المحكم-معلوي ال ناصر.xlsx | جمعية رؤية التنموية الاهلية!2,5fe06e4b5b0412b5f0851efd7973f4919c38ef08c7f13ed3d6375f140fbc7db2
LEG-ORG-B2-009,2,جمعية المتقاعدين بمنطقة القصيم,جمعيهالمتقاعدينبمنطقهالقصيم,,PRIMARY_ROSTER,فهد النوفل,أبرار جيلاني,,بريدة,,المركز الوطني لتنمية القطاع غير ربحي,,,,,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | dashboard_bundle_1/الدفعة 2/المستشار-فهد النوفل.xlsx | dashboard_bundle_1/المحكم-أبرار جيلاني.xlsx,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx | بيانات الجهات!10 || dashboard_bundle_1/الدفعة 2/المستشار-فهد النوفل.xlsx | جمعية المتقاعدين بمنطقة القصيم!2 || dashboard_bundle_1/المحكم-أبرار جيلاني.xlsx | جمعية المتقاعدين بمنطقة القصيم!2,f62588da16473bbef33b6494916fd1e871a3bde8466a79c178de6c20ac35d9b0
