legacy_model_name,legacy_category,current_model_id,current_model_name,current_category,crosswalk_status,relationship,auto_merge_allowed,notes
نموذج التقرير العام عن المنظمة,نماذج المستشار,MODEL-005,نموذج التقرير العام عن المنظمة,نماذج المستشار,DIRECT_NAME_MATCH,1_TO_1,True,
التقييم الذاتي للجهة,نماذج المستشار,MODEL-002,التقييم الذاتي للجهة,نماذج المستشار,DIRECT_NAME_MATCH,1_TO_1,True,
تقرير لقاء التعارف,نماذج المستشار,MODEL-003,تقرير لقاء التعارف,نماذج المستشار,DIRECT_NAME_MATCH,1_TO_1,True,
تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,نماذج المستشار,MODEL-004,تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,نماذج المستشار,DIRECT_NAME_MATCH,1_TO_1,True,
أداة تقييم الجاهزية,نماذج المستشار,MODEL-001,أداة تقييم الجاهزية,نماذج المستشار,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج خطة سد الفجوات,نماذج المستشار,MODEL-007,نموذج خطة سد الفجوات,نماذج المستشار,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج تقرير متابعة التشغيل وإغلاق التأسيس,نماذج المستشار,MODEL-006,نموذج تقرير متابعة التشغيل وإغلاق التأسيس,نماذج المستشار,DIRECT_NAME_MATCH,1_TO_1,True,
نموذج صياغة منطلقات ورؤية المنظمة للتطوع,نماذج المنظمة,,,,LEGACY_ONLY,,False,
دليل السياسات والإجراءات,نماذج المنظمة,MODEL-015,دليل السياسات والإجراءات,نماذج المنظمة,DIRECT_NAME_MATCH,1_TO_1,True,
المعيار الوظيفي لمدراء التطوع,نماذج المنظمة,,,,LEGACY_ONLY,,False,
نموذج الهيكل الإداري والوصف الوظيفي,نماذج المنظمة,MODEL-014,بطاقات الوصف الوظيفي,نماذج المنظمة,CANDIDATE_EVOLVED_SCHEMA,1_TO_1_CANDIDATE,False,تقارب دلالي؛ يحتاج اعتماد مالك البيانات قبل الدمج.
