current_org_id,current_organization_name,legacy_org_id,legacy_organization_name,legacy_cohort,match_status,match_score,runner_up_score,sequence_score,token_jaccard,token_containment,merge_decision,review_required
ORG-A01-01,جمعية المشي والجري,LEG-ORG-B4-027,جمعية المشي والجري,4,EXACT_NORMALIZED,1.0,0.7143,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A01-02,مؤسسة الاميرة العنود,LEG-ORG-B4-023,مؤسسة الاميرة العنود,4,EXACT_NORMALIZED,1.0,0.5366,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A01-03,جمعية ابتسم لخدمات طب الأسنان التطوعية,LEG-ORG-B4-024,جمعية ابتسم لخدمات طب الأسنان التطوعية,4,EXACT_NORMALIZED,1.0,0.7333,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A01-04,جمعية أطفال طيبة,LEG-ORG-B4-022,جمعية أطفال طيبة,4,EXACT_NORMALIZED,1.0,0.7097,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A01-05,جمعية ساعد القانونية لخدمة الأرامل والايتام,LEG-ORG-B4-026,جمعية ساعد القانونية لخدمة الأرامل والايتام,4,EXACT_NORMALIZED,1.0,0.597,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A02-01,جمعية عمارة للعناية بالمساجد بجازان,LEG-ORG-B3-019,جمعية عمارة للعناية بالمساجد بجازان,3,EXACT_NORMALIZED,1.0,0.6552,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A02-02,جمعية التنمية الأهلية بتبوك شيم,LEG-ORG-B3-020,جمعية التنمية الأهلية بتبوك شيم,3,EXACT_NORMALIZED,1.0,0.8302,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A02-03,جمعية مواساة لإكرام الموتى بعسير,LEG-ORG-B3-016,جمعية مواساة لإكرام الموتى بعسير,3,EXACT_NORMALIZED,1.0,0.6667,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A02-04,جمعية الإسكان التنموي بعسير,LEG-ORG-B3-018,جمعية الإسكان التنموي بعسير,3,EXACT_NORMALIZED,1.0,0.8261,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A02-05,جمعية نُبل الشبابية,LEG-ORG-B3-023,جمعية نُبل الشبابية,3,EXACT_NORMALIZED,1.0,0.875,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
