bundle,path,extension,size_bytes,sha256,source_role,migration_scope,artifact_tool_import,sheet_count
1,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx,.xlsx,15604,2258fe4d4e7e73fe4c1ee122e6856715188aefc59ce1de3182c668ca4cebac2a,ORGANIZATION_ROSTER,IN_SCOPE_DATA,PASS,1
1,dashboard_bundle_1/الدفعة 2/المستشار-سارة أبو الخير .xlsx,.xlsx,45979,19e9d0745e9500458cbd08601fe1058d86dd733d52b4f3e735802c474bee31a9,CONSULTANT_ACTIVITY,IN_SCOPE_DATA,PASS,8
1,dashboard_bundle_1/الدفعة 2/المستشار-عزيز التوخي.xlsx,.xlsx,48139,14f03d4f809e441fa061446b30544884f29eb764ebca1e17fe2e644ad129a45e,CONSULTANT_ACTIVITY,IN_SCOPE_DATA,PASS,9
1,dashboard_bundle_1/الدفعة 2/المستشار-فهد النوفل.xlsx,.xlsx,48592,a39b008610d1c4f81694b8e7894b65a68abee2a67f4263469d3f75cc0287a727,CONSULTANT_ACTIVITY,IN_SCOPE_DATA,PASS,9
1,dashboard_bundle_1/الدفعة 2/المستشار-وديع الحربي.xlsx,.xlsx,44495,8dc789af5e19c3674820a7c62f8dd4d709a3a5c8f40b0f4eeef73df146cb97ed,CONSULTANT_ACTIVITY,IN_SCOPE_DATA,PASS,8
1,dashboard_bundle_1/الدفعة 2/تقرير أداء الدفعة.xlsx,.xlsx,23247,53e1679ec8967596a8f6e4bd2bb987800770e3f5478c327eaecba3bed220d374,BATCH_KPI,IN_SCOPE_DATA,PASS,2
1,dashboard_bundle_1/الدفعة 2/خطة الدفعة الثانية من مسرعةإدامة 09-POWER BI.xlsx,.xlsx,23474,4f67222061ed1ebd47597c83d5518431408808cdabf1800ff055806e34dc22e5,BATCH_PLAN,IN_SCOPE_DATA,PASS,3
1,dashboard_bundle_1/الدفعة 3/المحكم-أحمد خواجي.xlsx,.xlsx,74454,fd4ea2310fb71e9a77ec91bde5f88bea791ae4730ab9fc7e472980858373497f,ARBITRATION,IN_SCOPE_DATA,PASS,7
1,dashboard_bundle_1/الدفعة 3/المحكم-خالد الزهراني.xlsx,.xlsx,79384,53baf612a55a13ead5555587b5c9129958c2bd74c8113196c7f64be174bf8c91,ARBITRATION,IN_SCOPE_DATA,PASS,8
1,dashboard_bundle_1/الدفعة 3/المحكم-خالد القرني.xlsx,.xlsx,81903,460aed6c0c6d584af3d8d038e05d2dd99ae162e27664251b295efbc3adde09d2,ARBITRATION,IN_SCOPE_DATA,PASS,8
1,dashboard_bundle_1/الدفعة 3/المستشار-إســراء بـاقيس.xlsx,.xlsx,48477,e16e2719259938045b3bb36ddb483c91ca0ecd1cb2b73739e7892582926bc1c8,CONSULTANT_ACTIVITY,IN_SCOPE_DATA,PASS,9
1,dashboard_bundle_1/الدفعة 3/المستشار-ظافر القرني.xlsx,.xlsx,44133,aaf2bcbe1df7361bdbd3b48188bf026b00d8314f22a2ffde7b74284534c2116b,CONSULTANT_ACTIVITY,IN_SCOPE_DATA,PASS,8
1,dashboard_bundle_1/الدفعة 3/المستشار-عبدالرحمن موسى.xlsx,.xlsx,48304,325dcff76d5b632d3d5f5089aaf0cf4e39c664c78e4f35598efedd02caedb4d7,CONSULTANT_ACTIVITY,IN_SCOPE_DATA,PASS,9
1,dashboard_bundle_1/الدفعة 3/المستشار-عزيـز التوخـي.xlsx,.xlsx,40374,58afceebd3a855ac76bb8b7f66bfa99989fee7734e413553b225523496c236f6,CONSULTANT_ACTIVITY,IN_SCOPE_DATA,PASS,7
1,dashboard_bundle_1/الدفعة 3/بيانات الجهات3.xlsx,.xlsx,19012,01858b01d55ab5dd963e47cd7d35c46c63b42116a25efc30b9d2c7e49bc98f61,ORGANIZATION_ROSTER,IN_SCOPE_DATA,PASS,1
1,dashboard_bundle_1/الدفعة 3/تقرير أداء الدفعة3.xlsx,.xlsx,16940,0203d6d3fe1ccf96096245e599e4ac02528eb6ae0f27d3ec2a51f07b3f567203,BATCH_KPI,IN_SCOPE_DATA,PASS,1
1,dashboard_bundle_1/الدفعة 3/خطة الدفعة الثالثة.xlsx,.xlsx,19094,fee502fa51966293bbe10fc7b3496c10dd4d0ca4a594369f7412f9cab9a047a8,BATCH_PLAN,IN_SCOPE_DATA,PASS,1
1,dashboard_bundle_1/الدفعة 4/المحكم-بتول الرويلي.xlsx,.xlsx,66683,0bec6c82921231af5992365350c6296b61e1a8765db3deb366844769ca17bf96,ARBITRATION,IN_SCOPE_DATA,PASS,6
1,dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx,.xlsx,74267,3bb1647eaba4d1b6a440fdef7561d1249c27bb1a5973b2dc7087d22d81aa15e1,ARBITRATION,IN_SCOPE_DATA,PASS,7
