model_definition_id,category,source_order,model_name,observed_records,unique_organizations,expected_one_per_organization
MODEL-001,نماذج المستشار,1,أداة تقييم الجاهزية,57,57,True
MODEL-002,نماذج المستشار,2,التقييم الذاتي للجهة,57,57,True
MODEL-003,نماذج المستشار,3,تقرير لقاء التعارف,57,57,True
MODEL-004,نماذج المستشار,4,تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,57,57,True
MODEL-005,نماذج المستشار,5,نموذج التقرير العام عن المنظمة,57,57,True
MODEL-006,نماذج المستشار,6,نموذج تقرير متابعة التشغيل وإغلاق التأسيس,57,57,True
MODEL-007,نماذج المستشار,7,نموذج خطة سد الفجوات,57,57,True
MODEL-008,نماذج المنظمة,8,أداة إدارة الفرص التطوعية,57,57,True
MODEL-009,نماذج المنظمة,9,أداة قياس العائد الاقتصادي,57,57,True
MODEL-010,نماذج المنظمة,10,الدليل الإرشادي لإنشاء وإدارة الفرق التطوعية,57,57,True
MODEL-011,نماذج المنظمة,11,الملف التعريفي,57,57,True
MODEL-012,نماذج المنظمة,12,الميثاق الأخلاقي للمتطوع,57,57,True
MODEL-013,نماذج المنظمة,13,الميثاق الأخلاقي للمنظمة ولمدير التطوع,57,57,True
MODEL-014,نماذج المنظمة,14,بطاقات الوصف الوظيفي,57,57,True
MODEL-015,نماذج المنظمة,15,دليل السياسات والإجراءات,57,57,True
MODEL-016,نماذج المنظمة,16,دليل المتطوع,57,57,True
MODEL-017,نماذج المنظمة,17,نموذج اتفاقية تطوع,57,57,True
MODEL-018,نماذج المنظمة,18,نموذج الإجراءات التأديبية,57,57,True
MODEL-019,نماذج المنظمة,19,نموذج الخطة التشغيلية,57,57,True
MODEL-020,نماذج المنظمة,20,نموذج الشكوى والتظلم,57,57,True
MODEL-021,نماذج المنظمة,21,نموذج المقابلة الشخصية,57,57,True
MODEL-022,نماذج المنظمة,22,نموذج تحديد الاحتياج التدريبي للمتطوعين,57,57,True
MODEL-023,نماذج المنظمة,23,نموذج تحديد الاحتياج وتصميم الفرص,57,57,True
MODEL-024,نماذج المنظمة,24,نموذج تخطيط اللقاء التعريفي بالمتطوعين الجدد,57,57,True
MODEL-025,نماذج المنظمة,25,نموذج تقييم أداء المتطوع,57,57,True
MODEL-026,نماذج المنظمة,26,نموذج تقييم المتطوع لتجربته التطوعية,57,57,True
MODEL-027,نماذج المنظمة,27,نموذج شهادة تطوع,57,57,True
MODEL-028,نماذج المنظمة,28,نموذج طلب تعويض عن مصروفات,57,57,True
MODEL-029,نماذج المسرعة,29,TOWS Matrix نموذج (الاستدامة),57,57,True
MODEL-030,نماذج المسرعة,30,خارطة الاستراتيجيات,57,57,True
MODEL-031,نماذج المسرعة,31,خريطة التعاطف,57,57,True
MODEL-032,نماذج المسرعة,32,صياغة سؤال التحدي,57,57,True
MODEL-033,نماذج المسرعة,33,نموذج التحليل الشجري,57,57,True
MODEL-034,نماذج المسرعة,34,نموذج العصف الذهني Brainstorming.,57,57,True
MODEL-035,نماذج المسرعة,35,نموذج تحديد الأولويات,57,57,True
MODEL-036,نماذج المسرعة,36,نموذج تحديد التوجه,57,57,True
MODEL-037,نماذج المسرعة,37,نموذج تحديد القضايا والتحديات,57,57,True
MODEL-038,نماذج المسرعة,38,نموذج تحديد المخاطر والحلول الاحترازية,57,57,True
MODEL-039,نماذج المسرعة,39,نموذج تحديد مهام ومؤشرات الخطة,57,57,True
MODEL-040,نماذج المسرعة,40,نموذج تحليل الجمهور المستهدف,57,57,True
MODEL-041,نماذج المسرعة,41,نموذج تصنيف أصحاب المصلحة,57,57,True
MODEL-042,نماذج المسرعة,42,نموذج تلبية توقعات أصحاب المصلحة,57,57,True
MODEL-043,نماذج المسرعة,43,نموذج توقعات أصحاب المصلحة,57,57,True
MODEL-044,نماذج المسرعة,44,نموذج صياغة التحدي,57,57,True
MODEL-045,نماذج المسرعة,45,نموذج مصفوفة أصحاب المصلحة,57,57,True
