lovable_org_id,canonical_org_name,expected_rows,actual_rows,rows_match_expected,unique_links,duplicate_links,empty_links,sum_work_hours,notes_count,evaluation_values,row_exists_count,link_exists_content_not_verified_count,content_verified_count,completed_count,approved_count_raw,graduation_claim,audit_note,recommended_status,statuses_summary
ORG-A01-01,جمعية المشي والجري,45,45,true,29,16,0,25.5,7,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A01-02,مؤسسة الاميرة العنود,45,45,true,30,15,0,26.5,11,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A01-03,جمعية ابتسم لخدمات طب الأسنان التطوعية,45,45,true,31,14,0,28.0,0,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A01-04,جمعية أطفال طيبة,45,45,true,30,15,0,25.5,0,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A01-05,جمعية ساعد القانونية لخدمة الأرامل والايتام,45,45,true,31,14,0,30.5,0,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A02-01,جمعية عمارة للعناية بالمساجد بجازان,45,45,true,30,15,0,22.5,3,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A02-02,جمعية التنمية الأهلية بتبوك شيم,45,45,true,29,16,0,22.5,3,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A02-03,جمعية مواساة لإكرام الموتى بعسير,45,45,true,29,16,0,22.5,2,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A02-04,جمعية الإسكان التنموي بعسير,45,45,true,31,14,0,22.5,1,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A02-05,جمعية نُبل الشبابية,45,45,true,30,15,0,23.0,2,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A02-06,جمعية التنمية الأهلية برفحاء,45,45,true,29,16,0,22.5,4,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A03-01,جمعية البر لقرى جنوب مكة,45,45,true,27,18,0,22.5,2,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A03-02,جمعية التنمية الإيجابية,45,45,true,28,17,0,22.5,2,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
ORG-A03-03,جمعية نماء المكية للسقاية والرفادة,45,45,true,28,17,0,22.5,2,مقبول=45,45,45,0,0,45,NOT_GRADUATED_BY_ROW_COUNT_OR_APPROVAL,Row/link presence does NOT prove content completeness. Google file contents were NOT fetched or validated.,LINK_EXISTS_CONTENT_NOT_VERIFIED,ROW_EXISTS=45 ; LINK_EXISTS_CONTENT_NOT_VERIFIED=45 ; CONTENT_VERIFIED=0 ; COMPLETED=0 ; APPROVED=45 (raw 'مقبول' — NOT independently verified)
