participation_id,proposed_canonical_org_id,canonical_org_name,cohort,cohort_label,organization_name_as_written,normalized_name,source,source_record_ids,legacy_org_ids,lovable_org_ids,source_files,source_sheets,source_rows,consultant_names,evaluator_names,first_recorded_at,last_recorded_at,roster_status,model_family_count,model_version_count,latest_outputs_count,links_count,participation_evidence,cohort_confidence,possible_previous_participation,possible_next_participation,requires_review
PART-LEG-LEG-ORG-B1-001,LEG-ORG-B1-001,جمعية بنيان للخدمات الاجتماعية,1,دفعة 1,جمعية بنيان للخدمات الاجتماعية,جمعيهبنيانللخدماتالاجتماعيه,legacy,LEG-ORG-B1-001,LEG-ORG-B1-001,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!2 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!25,خالد الصفحي,د . حسن أبو كافته,2024-11-14,2025-05-26,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-001,HIGH,,,false
PART-LEG-LEG-ORG-B1-002,LEG-ORG-B1-002,جمعية البرهان لخدمة السنة والقرآن,1,دفعة 1,جمعية البرهان لخدمة السنة والقرآن,جمعيهالبرهانلخدمهالسنهوالقران,legacy,LEG-ORG-B1-002,LEG-ORG-B1-002,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!3 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!24,خالد الصفحي,د . حسن أبو كافته,2024-11-14,2025-05-26,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-002,HIGH,,,false
PART-LEG-LEG-ORG-B1-003,LEG-ORG-B1-003,جمعية الصم وضعاف السمع وذويهم,1,دفعة 1,جمعية الصم وضعاف السمع وذويهم,جمعيهالصموضعافالسمعوذويهم,legacy,LEG-ORG-B1-003,LEG-ORG-B1-003,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!4 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!9,هنادي شعيب,أ . محمد العبدالجبار,2024-11-14,2025-05-05,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-003,HIGH,,,false
PART-LEG-LEG-ORG-B1-004,LEG-ORG-B1-004,جمعية أفق للاسكان التنموي,1,دفعة 1,جمعية أفق للاسكان التنموي,جمعيهافقللاسكانالتنموي,legacy,LEG-ORG-B1-004,LEG-ORG-B1-004,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!5 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!11,إسراء باقيس,د . حسن أبو كافته,2024-11-14,2025-04-26,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-004,HIGH,,,false
PART-LEG-LEG-ORG-B1-005,LEG-ORG-B1-005,الجمعية الخيرية لتيسير الزواج ورعاية الأسرة,1,دفعة 1,الجمعية الخيرية لتيسير الزواج ورعاية الأسرة,الجمعيهالخيريهلتيسيرالزواجورعايهالاسره,legacy,LEG-ORG-B1-005,LEG-ORG-B1-005,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!6 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!13,إسراء باقيس,د . حسن أبو كافته,2024-11-14,2025-04-26,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-005,HIGH,,,false
PART-LEG-LEG-ORG-B1-006,LEG-ORG-B1-006,جمعية التنمية الأهلية بالحزام الذهبي,1,دفعة 1,جمعية التنمية الأهلية بالحزام الذهبي,جمعيهالتنميهالاهليهبالحزامالذهبي,legacy,LEG-ORG-B1-006,LEG-ORG-B1-006,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!7 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!15,إسراء باقيس,د . حسن أبو كافته,2024-11-14,2025-04-26,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-006,HIGH,,,false
PART-LEG-LEG-ORG-B1-007,LEG-ORG-B1-007,جمعية الجبيل الأهلية,1,دفعة 1,جمعية الجبيل الأهلية,جمعيهالجبيلالاهليه,legacy,LEG-ORG-B1-007,LEG-ORG-B1-007,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!8 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!14,إسراء باقيس,د . حسن أبو كافته,2024-11-14,2025-04-26,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-007,HIGH,,,false
PART-LEG-LEG-ORG-B1-008,LEG-ORG-B1-008,جمعية تواصل للتنمية الأهلية بأحياء الجامعيين والنزهة وهجر والفردوس,1,دفعة 1,جمعية تواصل للتنمية الأهلية بأحياء الجامعيين والنزهة وهجر والفردوس,جمعيهتواصلللتنميهالاهليهباحياءالجامعيينوالنزههوهجروالفردوس,legacy,LEG-ORG-B1-008,LEG-ORG-B1-008,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!9 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!16,إسراء باقيس,د . حسن أبو كافته,2024-11-14,2025-04-26,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-008,HIGH,,,false
PART-LEG-LEG-ORG-B1-009,LEG-ORG-B1-009,جمعية المعمار,1,دفعة 1,جمعية المعمار,جمعيهالمعمار,legacy,LEG-ORG-B1-009,LEG-ORG-B1-009,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!10 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!12,إسراء باقيس,د . حسن أبو كافته,2024-11-14,2025-04-26,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-009,HIGH,,,false
PART-LEG-LEG-ORG-B1-010,LEG-ORG-B1-010,الجمعية التكاملية لذوي الإعاقة,1,دفعة 1,الجمعية التكاملية لذوي الإعاقة,الجمعيهالتكامليهلذويالاعاقه,legacy,LEG-ORG-B1-010,LEG-ORG-B1-010,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!11 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!8,هنادي شعيب,د . حسن أبو كافته,2024-11-14,2025-05-05,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-010,HIGH,,,false
PART-LEG-LEG-ORG-B1-011,LEG-ORG-B1-011,الجمعية السعودية لاضطراب فرط الحركة (إشراق ),1,دفعة 1,الجمعية السعودية لاضطراب فرط الحركة (إشراق ),الجمعيهالسعوديهلاضطرابفرطالحركه(اشراق),legacy,LEG-ORG-B1-011,LEG-ORG-B1-011,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!12 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!27,خالد الصفحي,د . حسن أبو كافته,2024-11-14,2025-04-07,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-011,HIGH,,,false
PART-LEG-LEG-ORG-B1-012,LEG-ORG-B1-012,جمعية دار السلام لإكرام الموتى,1,دفعة 1,جمعية دار السلام لإكرام الموتى,جمعيهدارالسلاملاكرامالموتي,legacy,LEG-ORG-B1-012,LEG-ORG-B1-012,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!13 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!17,هشام الغامدي,د . حسن أبو كافته,2024-11-14,2025-08-05,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-012,HIGH,,,false
PART-LEG-LEG-ORG-B1-013,LEG-ORG-B1-013,المؤسسة الخيرية لرعاية الأيتام - إخاء,1,دفعة 1,المؤسسة الخيرية لرعاية الأيتام - إخاء,المؤسسهالخيريهلرعايهالايتام-اخاء,legacy,LEG-ORG-B1-013,LEG-ORG-B1-013,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!14 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!10,هنادي شعيب,أ . محمد العبدالجبار,2024-11-14,2025-05-05,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-013,HIGH,,,false
