source_record_id,canonical_org_id,canonical_org_name,cohort,source_side,source_org_id,name_as_written,normalized_name,source_files,source_rows,consultant_names,evaluator_names,roster_status,records_count
SRC-LEG-LEG-ORG-B1-001,LEG-ORG-B1-001,جمعية بنيان للخدمات الاجتماعية,1,legacy,LEG-ORG-B1-001,جمعية بنيان للخدمات الاجتماعية,جمعيهبنيانللخدماتالاجتماعيه,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!2 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!25,خالد الصفحي,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-002,LEG-ORG-B1-002,جمعية البرهان لخدمة السنة والقرآن,1,legacy,LEG-ORG-B1-002,جمعية البرهان لخدمة السنة والقرآن,جمعيهالبرهانلخدمهالسنهوالقران,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!3 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!24,خالد الصفحي,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-003,LEG-ORG-B1-003,جمعية الصم وضعاف السمع وذويهم,1,legacy,LEG-ORG-B1-003,جمعية الصم وضعاف السمع وذويهم,جمعيهالصموضعافالسمعوذويهم,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!4 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!9,هنادي شعيب,أ . محمد العبدالجبار,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-004,LEG-ORG-B1-004,جمعية أفق للاسكان التنموي,1,legacy,LEG-ORG-B1-004,جمعية أفق للاسكان التنموي,جمعيهافقللاسكانالتنموي,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!5 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!11,إسراء باقيس,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-005,LEG-ORG-B1-005,الجمعية الخيرية لتيسير الزواج ورعاية الأسرة,1,legacy,LEG-ORG-B1-005,الجمعية الخيرية لتيسير الزواج ورعاية الأسرة,الجمعيهالخيريهلتيسيرالزواجورعايهالاسره,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!6 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!13,إسراء باقيس,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-006,LEG-ORG-B1-006,جمعية التنمية الأهلية بالحزام الذهبي,1,legacy,LEG-ORG-B1-006,جمعية التنمية الأهلية بالحزام الذهبي,جمعيهالتنميهالاهليهبالحزامالذهبي,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!7 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!15,إسراء باقيس,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-007,LEG-ORG-B1-007,جمعية الجبيل الأهلية,1,legacy,LEG-ORG-B1-007,جمعية الجبيل الأهلية,جمعيهالجبيلالاهليه,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!8 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!14,إسراء باقيس,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-008,LEG-ORG-B1-008,جمعية تواصل للتنمية الأهلية بأحياء الجامعيين والنزهة وهجر والفردوس,1,legacy,LEG-ORG-B1-008,جمعية تواصل للتنمية الأهلية بأحياء الجامعيين والنزهة وهجر والفردوس,جمعيهتواصلللتنميهالاهليهباحياءالجامعيينوالنزههوهجروالفردوس,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!9 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!16,إسراء باقيس,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-009,LEG-ORG-B1-009,جمعية المعمار,1,legacy,LEG-ORG-B1-009,جمعية المعمار,جمعيهالمعمار,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!10 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!12,إسراء باقيس,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-010,LEG-ORG-B1-010,الجمعية التكاملية لذوي الإعاقة,1,legacy,LEG-ORG-B1-010,الجمعية التكاملية لذوي الإعاقة,الجمعيهالتكامليهلذويالاعاقه,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!11 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!8,هنادي شعيب,د . حسن أبو كافته,PRIMARY_ROSTER,0
SRC-LEG-LEG-ORG-B1-011,LEG-ORG-B1-011,الجمعية السعودية لاضطراب فرط الحركة (إشراق ),1,legacy,LEG-ORG-B1-011,الجمعية السعودية لاضطراب فرط الحركة (إشراق ),الجمعيهالسعوديهلاضطرابفرطالحركه(اشراق),dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!12 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!27,خالد الصفحي,د . حسن أبو كافته,PRIMARY_ROSTER,0
